hero_id,name_ko,source_file,portrait_crop,popup_crop,level,captured_power,faction,role,attack_type,range,label_confidence,usage_note
hero_50090,실벤,source_full/50090_실벤.jpg,portrait_card/50090_실벤_portrait.png,popup_panel/50090_실벤_popup.png,80,9330,레오프론,사수,마법 공격,7,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50094,울머스,source_full/50094_울머스.jpg,portrait_card/50094_울머스_portrait.png,popup_panel/50094_울머스_popup.png,80,9246,와일더스,탱커,물리 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50096,신태일&아구몬,source_full/50096_신태일_and_아구몬.jpg,portrait_card/50096_신태일_and_아구몬_portrait.png,popup_panel/50096_신태일_and_아구몬_popup.png,80,8538,이계,전사,물리 공격,7,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50098,휴윈,source_full/50098_휴윈.jpg,portrait_card/50098_휴윈_portrait.png,popup_panel/50098_휴윈_popup.png,80,8528,와일더스,서포터,마법 공격,4,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50100,세시아,source_full/50100_세시아.jpg,portrait_card/50100_세시아_portrait.png,popup_panel/50100_세시아_popup.png,80,8504,그레이브본,사수,물리 공격,5,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50102,매튜&파피몬,source_full/50102_매튜_and_파피몬.jpg,portrait_card/50102_매튜_and_파피몬_portrait.png,popup_panel/50102_매튜_and_파피몬_popup.png,80,8476,이계,마법사,마법 공격,4,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50104,윙,source_full/50104_윙.jpg,portrait_card/50104_윙_portrait.png,popup_panel/50104_윙_popup.png,80,8425,그레이브본,레인저,마법 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50106,데이먼,source_full/50106_데이먼.jpg,portrait_card/50106_데이먼_portrait.png,popup_panel/50106_데이먼_popup.png,80,8418,그레이브본,탱커,마법 공격,3,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50108,세미라,source_full/50108_세미라.jpg,portrait_card/50108_세미라_portrait.png,popup_panel/50108_세미라_popup.png,80,8379,그레이브본,마법사,마법 공격,4,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50110,안탄드라,source_full/50110_안탄드라.jpg,portrait_card/50110_안탄드라_portrait.png,popup_panel/50110_안탄드라_popup.png,80,8378,트라이브,탱커,물리 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50112,팔라모르,source_full/50112_팔라모르.jpg,portrait_card/50112_팔라모르_portrait.png,popup_panel/50112_팔라모르_popup.png,80,8366,와일더스,레인저,물리 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50114,레미아,source_full/50114_레미아.jpg,portrait_card/50114_레미아_portrait.png,popup_panel/50114_레미아_popup.png,80,7810,와일더스,레인저,물리 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50116,카이,source_full/50116_카이.jpg,portrait_card/50116_카이_portrait.png,popup_panel/50116_카이_popup.png,80,7733,트라이브,서포터,물리 공격,4,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50118,에디,source_full/50118_에디.jpg,portrait_card/50118_에디_portrait.png,popup_panel/50118_에디_popup.png,80,7719,트라이브,사수,마법 공격,5,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50120,게르다,source_full/50120_게르다.jpg,portrait_card/50120_게르다_portrait.png,popup_panel/50120_게르다_popup.png,80,7697,트라이브,탱커,물리 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50122,워커,source_full/50122_워커.jpg,portrait_card/50122_워커_portrait.png,popup_panel/50122_워커_popup.png,80,7276,레오프론,레인저,물리 공격,2,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50124,발리카,source_full/50124_발리카.jpg,portrait_card/50124_발리카_portrait.png,popup_panel/50124_발리카_popup.png,80,7258,그레이브본,전사,물리 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50126,네리온,source_full/50126_네리온.jpg,portrait_card/50126_네리온_portrait.png,popup_panel/50126_네리온_popup.png,80,7218,그레이브본,사수,마법 공격,7,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50128,튜더,source_full/50128_튜더.jpg,portrait_card/50128_튜더_portrait.png,popup_panel/50128_튜더_popup.png,80,7217,와일더스,탱커,물리 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50130,라이카,source_full/50130_라이카.jpg,portrait_card/50130_라이카_portrait.png,popup_panel/50130_라이카_popup.png,80,7160,와일더스,사수,물리 공격,5,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50132,아든,source_full/50132_아든.jpg,portrait_card/50132_아든_portrait.png,popup_panel/50132_아든_popup.png,80,7156,와일더스,마법사,마법 공격,5,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50134,루카,source_full/50134_루카.jpg,portrait_card/50134_루카_portrait.png,popup_panel/50134_루카_popup.png,80,7153,레오프론,탱커,물리 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50136,니루,source_full/50136_니루.jpg,portrait_card/50136_니루_portrait.png,popup_panel/50136_니루_popup.png,80,7152,그레이브본,서포터,마법 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
hero_50138,소렌,source_full/50138_소렌.jpg,portrait_card/50138_소렌_portrait.png,popup_panel/50138_소렌_popup.png,80,7137,트라이브,레인저,물리 공격,1,directly_read_from_user_capture,captured_power is session-specific; do not treat as permanent stat
pandora,판도라,user_capture/codex-clipboard-2041727e-5210-4295-b96b-524aaa3e385e.png,portraits/pandora.png,,120,24229,이계,서포터,마법 공격,5,directly_read_from_user_capture,portrait is a pixel-exact crop from the user-confirmed Hero Hall capture
hero_eiron,에이론,temp_capture/codex-clipboard-67066ae5-439d-4561-98b5-ff16dbfba727.png,portraits/hero_eiron.png,,100,16304,와일더스,레인저,마법 공격,1,directly_read_from_user_capture,portrait cropped from the user capture; captured_power is session-specific and not a permanent stat
